SMILES,Title,IC50nM
CCC(=O)Nc1cccc(c1)C(=O)Nc1ccc(Nc2cc(ccn2)-c2[nH]c(SC)nc2-c2ccc(F)cc2)cc1,50716026,2
CSc1nc(c(-c2ccnc(Nc3ccc(NC(=O)c4cccc(NC(=O)C=C)c4)cc3C)c2)n1C)-c1ccc(F)cc1,50716049,2
CSc1nc(C)c([nH]1)-c1ccnc(Nc2ccc(NC(=O)c3cccc(NC(=O)C=C)c3)cc2)c1,50716051,2
Fc1cc2n(ncc2cc1Nc1ccccc1Cl)-c1csc(c1)C(=O)N[C@H]1CCOC1,51429779,2
Fc1cc2n(ncc2cc1Nc1ccccc1Cl)-c1csc(c1)C(=O)NC1CCOCC1,51429780,2
CC(C)NC(=O)c1cc(cs1)-n1ncc2cc(Nc3ccccc3Cl)c(F)cc12,51429783,2
CNC(=O)c1cc(cs1)-n1ncc2cc(Nc3c(F)cccc3Cl)c(F)cc12,51429791,2
CCCNc1nccc(-c2c(-c3ccc(F)cc3)nc3n2[C@H](CO)CC3)n1,CHEMBL198756,2.5
NC(=O)c1ccccc1Nc1nc(Nc2ccc(Cl)cc2)ncc1Cl,CHEMBL3220501,2.5
CCCNc1nccc(-c2c(-c3ccc(F)cc3)nc3n2[C@H](CO)CC3)n1,CHEMBL198756,2.5
CCCNc1nccc(n1)-c1c(nc2CC[C@@H](CO)n12)-c1ccc(F)cc1,50566699,2.5
CCCNc1nccc(n1)-c1c(nc2CC[C@@H](CO)n12)-c1ccc(F)cc1,50319933,2.5
CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N,51238616,2.6
CCCNc1nccc(-c2c(-c3ccc(F)cc3)nc3n2[C@@H](CO)CC3)n1,CHEMBL383799,3
CN(C)CCCC(=O)Nc1cc(C(=O)O)cc(-c2n[nH]c3cc(Nc4ccccc4Cl)ccc23)c1,CHEMBL1092764,3
C=CC(=O)Nc1cccc(C(=O)Nc2cccc(Nc3cc(-c4c(-c5ccc(F)cc5)nc(SC)n4C)ccn3)c2)c1,CHEMBL4094220,3
C=CC(=O)Nc1ccc(C(=O)Nc2ccc(Nc3cc(-c4[nH]c(SC)nc4-c4ccc(F)cc4)ccn3)cc2)cc1,CHEMBL4082212,3
Cn1cnc(-c2c(Br)csc2NC(=O)CN2C(=O)CCc3ncccc32)n1,CHEMBL1822305,3
C=CC(=O)Nc1cccc(C(=O)Nc2cccc(Nc3cc(-c4c(-c5ccc(F)cc5)nc(SC)n4C)ccn3)c2)c1C,CHEMBL4071770,3
CN(c1nccc(-c2cnc3ccccn23)n1)C1CCCCC1,CHEMBL482708,3
O=C(Nc1cc(-c2ccnc(Nc3ccc(F)cc3)c2)ccn1)C1CCOC1,CHEMBL203839,3
COCCNC(=O)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,CHEMBL4876387,3
CN(C)CCCC(=O)Nc1cc(cc(c1)-c1n[nH]c2cc(Nc3ccccc3Cl)ccc12)C(O)=O,50566712,3
CSc1nc(c(-c2ccnc(Nc3cccc(NC(=O)c4cccc(NC(=O)C=C)c4C)c3)c2)n1C)-c1ccc(F)cc1,50716625,3
CSc1nc(c([nH]1)-c1ccnc(Nc2ccc(NC(=O)c3ccc(NC(=O)C=C)cc3)cc2)c1)-c1ccc(F)cc1,50716029,3
CCCNc1nccc(n1)-c1c(nc2CC[C@H](CO)n12)-c1ccc(F)cc1,50319938,3
Fc1ccc(Nc2cc(ccn2)-c2ccnc(NC(=O)[C@H]3CCOC3)c2)cc1,50383513,3
Fc1ccc(Nc2cc(ccn2)-c2ccnc(NC(=O)C3CCOC3)c2)cc1,50331070,3
CN(C1CCCCC1)c1nccc(n1)-c1cnc2ccccn12,50414946,3
COCCNC(=O)c1cc(cs1)-n1ncc2cc(Nc3ccccc3Cl)c(F)cc12,51429785,3
Cn1cnc(n1)-c1c(Br)csc1NC(=O)CN1C(=O)CCc2ncccc12,50659459,3
CSc1nc(c(-c2ccnc(Nc3cccc(NC(=O)c4cccc(NC(=O)C=C)c4)c3)c2)n1C)-c1ccc(F)cc1,50715707,3
COc1ccc(CCNc2nccc(/C(C#N)=C3\Nc4ccccc4S3)n2)cc1,CHEMBL370516,3.1
COc1ccc(CCNc2nccc(n2)C(C#N)c2nc3ccccc3s2)cc1,50383506,3.1
NC(=O)c1cccc(-c2[nH]nc3cc(Nc4ccccc4Cl)ccc23)c1,CHEMBL199136,3.3
NC(=O)c1cccc(c1)-c1n[nH]c2cc(Nc3ccccc3Cl)ccc12,50319425,3.3
O=C(NCCCN1CCOCC1)c1cccc(-c2[nH]nc3cc(Nc4ccccc4Cl)ccc23)c1,CHEMBL198687,3.4
Clc1ccccc1Nc1ccc2c(n[nH]c2c1)-c1cccc(c1)C(=O)NCCCN1CCOCC1,50319407,3.4
CS(=O)(=O)Nc1ccc(-c2ccnc(Nc3ccc(-n4ccnn4)cc3)n2)cc1,CHEMBL571626,4
C=CC(=O)Nc1ccc(C(=O)Nc2cccc(Nc3cc(-c4c(-c5ccc(F)cc5)nc(SC)n4C)ccn3)c2)cc1,CHEMBL4072555,4
CS(=O)(=O)Nc1ccc(-c2ccnc(Nc3ccc(-n4ccnn4)cc3)n2)cc1,CHEMBL571626,4
COc1c(-c2cnn(C)c2)ccc2cnc(Nc3ccc(-n4cnc(N5CCOCC5)n4)cc3)nc12,CHEMBL1761584,4
